Trials	100000
Coin Expected Value 	 1.077150358046236 
Multiplier Expected Value 	 2.005086267078887 

Return	Coin	Multiplier	Scatter	Transform	Collect	SuperScatter	Starting Mirrors	End Mirrors
1.5118455733483298	7	1	1	0	0	0	8	8
0.538575179023118	5	0	0	0	0	0	5	5
0.6462902148277416	6	0	0	0	0	0	6	6
0.2154300716092472	2	0	1	0	0	0	3	3
0.3231451074138708	3	0	0	0	0	0	3	3
1.2958676342985684	6	1	0	0	0	0	6	6
3.887602902895705	6	3	0	0	0	0	6	6
0.4308601432184944	4	0	0	0	0	0	5	5
0.4308601432184944	4	0	3	0	0	0	7	7
41.46776429755418	32	6	0	4	1	0	3	25
0.8639117561990457	4	1	0	0	0	0	4	4
3.0236911466966596	7	2	1	0	0	0	8	8
1.2958676342985684	6	1	1	0	0	0	7	7
0.6462902148277416	6	0	1	0	0	0	7	7
0.3231451074138708	3	0	0	0	0	0	3	3
9.719007257239262	15	3	1	1	0	0	14	16
0.6462902148277416	6	0	0	0	0	0	6	6
3.887602902895705	9	2	1	1	0	0	8	10
0.2154300716092472	2	0	1	0	0	0	3	3
1.7234405728739777	16	0	2	0	0	0	18	18
0.4308601432184944	4	0	0	0	0	0	4	4
0.8639117561990457	4	1	1	0	0	0	5	5
0.8639117561990457	4	1	0	0	0	0	4	4
5.831404354343557	9	3	0	0	0	0	9	9
10.79889695248807	10	5	1	1	0	0	5	11
0.6462902148277416	6	0	1	0	0	0	7	7
0.8639117561990457	4	1	0	0	0	0	4	4
1.079889695248807	5	1	2	0	0	0	7	7
1.7278235123980914	4	2	0	0	0	0	4	4
5.615426415293796	13	2	1	1	0	0	8	14
24.189529173573277	28	4	1	0	0	1	30	30
0.3231451074138708	3	0	0	0	0	0	3	3
0.8617202864369888	8	0	1	0	0	0	9	9
0.8617202864369888	8	0	0	0	0	0	8	8
0.4308601432184944	4	0	1	0	0	0	5	5
3.671624963845944	17	1	0	1	0	0	13	17
1.5118455733483298	7	1	1	0	0	0	8	8
0.2154300716092472	2	0	1	0	0	0	3	3
0.538575179023118	5	0	0	0	0	0	5	5
7.77520580579141	9	4	1	0	0	0	10	10
0.538575179023118	5	0	0	0	0	0	5	5
0.6462902148277416	6	0	1	0	0	0	7	7
8.423139622940694	13	3	3	0	0	0	16	16
2.3757573295473753	11	1	0	0	0	0	11	11
3.455647024796183	8	2	1	0	0	0	9	9
1.9438014514478525	9	1	1	0	0	0	10	10
0.7540052506323652	7	0	0	0	0	0	7	7
0.6462902148277416	6	0	0	0	0	0	6	6
2.807713207646898	13	1	2	0	0	0	15	15
5.831404354343557	9	3	0	0	0	0	9	9
1.079889695248807	5	1	0	0	0	0	5	5
1.7278235123980914	8	1	2	0	0	0	10	10
0.538575179023118	5	0	2	0	0	0	7	7
0.4308601432184944	4	0	0	0	0	0	4	4
2.591735268597137	12	1	0	1	0	0	6	12
0.4308601432184944	4	0	0	0	0	0	4	4
175.8060423865058	74	11	3	2	2	0	24	30
0.538575179023118	5	0	0	0	0	0	5	5
0.3231451074138708	3	0	0	0	0	0	3	3
0.4308601432184944	4	0	1	0	0	0	5	5
0.3231451074138708	3	0	0	0	0	0	3	3
0.8617202864369888	8	0	2	0	0	0	10	10
0.3231451074138708	3	0	0	0	0	0	3	3
1.2925804296554833	12	0	0	0	0	0	12	12
0.7540052506323652	7	0	1	0	0	0	8	8
22.029749783075662	34	3	3	2	1	0	14	21
1.7278235123980914	4	2	1	0	0	0	5	5
4.535536720044989	21	1	1	2	1	0	6	14
0.8639117561990457	4	1	1	0	0	0	5	5
0.3231451074138708	3	0	1	0	0	0	4	4
10.366941074388548	12	4	3	0	0	0	15	15
0.6462902148277416	6	0	0	0	0	0	6	6
1.2958676342985684	6	1	0	0	0	0	6	6
0.538575179023118	5	0	0	0	0	0	5	5
0.3231451074138708	3	0	0	0	0	0	3	3
0.8639117561990457	4	1	0	0	0	0	4	4
1.2958676342985684	6	1	0	0	0	0	6	6
0.6462902148277416	6	0	3	0	0	0	9	9
3.455647024796183	8	2	0	1	0	0	5	8
0.6462902148277416	6	0	1	0	0	0	7	7
0.7540052506323652	7	0	2	0	0	0	9	9
0.6462902148277416	6	0	2	0	0	0	8	8
2.807713207646898	13	1	1	0	0	0	14	14
0.9694353222416124	9	0	0	1	0	0	3	9
9.071073440089979	14	3	3	0	0	0	17	17
0.4308601432184944	4	0	0	0	0	0	4	4
1.9438014514478525	9	1	0	0	0	0	9	9
3.2396690857464208	5	3	1	0	0	0	6	6
1.077150358046236	10	0	0	1	0	0	6	10
0.7540052506323652	7	0	1	0	0	0	8	8
7.77520580579141	9	4	2	0	0	0	11	11
1.1848653938508595	11	0	1	0	0	0	12	12
7.127271988642126	11	3	0	0	0	0	11	11
0.538575179023118	5	0	1	0	0	0	6	6
1.2925804296554833	12	0	3	0	0	0	15	15
14.902477794433533	23	3	2	1	1	0	12	17
0.9694353222416124	9	0	1	1	0	0	5	10
0.3231451074138708	3	0	0	0	0	0	3	3
3.455647024796183	8	2	0	0	0	0	8	8
7.77520580579141	9	4	1	1	0	0	6	10
4.319558780995228	10	2	3	0	0	0	13	13
16.198345428732104	15	5	0	1	0	0	12	15
2.5917352685971364	4	3	0	0	0	0	4	4
0.4308601432184944	4	0	0	0	0	0	4	4
0.538575179023118	5	0	0	0	0	0	5	5
0.2154300716092472	2	0	3	0	0	0	5	5
0.2154300716092472	2	0	2	0	0	0	4	4
1.077150358046236	10	0	1	0	0	0	11	11
3.887602902895705	18	1	3	0	0	0	21	21
3.455647024796183	16	1	2	2	0	0	8	18
1.9438014514478525	9	1	2	0	0	0	11	11
1.2958676342985684	6	1	0	0	0	0	6	6
0.7540052506323652	7	0	1	0	0	0	8	8
0.8639117561990457	4	1	0	0	0	0	4	4
0.8639117561990457	4	1	0	0	0	0	4	4
7.127271988642126	11	3	3	0	0	0	14	14
0.4308601432184944	4	0	0	0	0	0	4	4
13.822588099184731	32	2	3	1	1	0	17	20
4.319558780995228	10	2	2	0	0	0	12	12
0.538575179023118	5	0	0	0	0	0	5	5
0.4308601432184944	4	0	0	0	0	0	4	4
0.7540052506323652	7	0	0	0	0	0	7	7
0.8617202864369888	8	0	0	0	0	0	8	8
1.7278235123980914	8	1	0	0	0	0	8	8
1.2958676342985684	6	1	0	0	0	0	6	6
2.591735268597137	6	2	1	0	0	0	7	7
0.538575179023118	5	0	0	0	0	0	5	5
1.5118455733483298	7	1	0	0	0	0	7	7
1.7234405728739777	16	0	3	0	0	0	20	20
0.6462902148277416	6	0	2	0	0	0	8	8
3.2396690857464208	5	3	2	0	0	0	7	7
